Label,StartingPosition,NumberOfPositions,Converter
PersoonsgebondenNummer,1,12,convert_to_object
Inschrijvingsjaar,13,4,convert_to_int64
AdministratienummerOwiInstelling,17,4,convert_to_object
ActueleInstelling,21,4,convert_to_object
Opleidingscode,25,5,convert_to_int64
Opleidingsvorm,30,1,convert_opleidingsvorm
Opleidingsfase,31,1,convert_to_object
MaandVanaf,32,2,convert_to_int64
BeeindigingCode,34,1,convert_to_int64
MaandTot,35,2,convert_to_int64
ExamenresultaatCode,37,1,convert_to_int64
MaandExamenresultaat,38,2,convert_to_int64
BekostigingCode,40,1,convert_to_object
EersteJaarAanDezeInstelling,41,4,convert_to_int64
Inschrijvingsvorm,45,1,convert_to_object
SoortHogerOnderwijs,46,3,convert_to_object
OpleidingActueelEquivalent,49,5,convert_to_object
OpleidingHistorischEquivalent,54,5,convert_to_object
CrohoOnderdeelActueleOpleiding,59,1,convert_to_int64
CrohoSubonderdeelActueleOpleiding,60,2,convert_to_int64
TypeHogerOnderwijsBinnenSoortHogerOnderwijs,62,2,convert_to_object
OpleidingsfaseActueel,64,1,convert_to_object
IndicatieActiefOpPeildatum,65,1,convert_to_int64
SoortInschrijvingHogerOnderwijs,66,1,convert_to_int64
SoortInschrijvingSoortHo,67,1,convert_to_int64
SoortInschrijvingTypeHoBinnenSoortHo,68,1,convert_to_int64
SoortInschrijvingOpleidingActueelEquivalent,69,1,convert_to_int64
SoortInschrijvingActueleInstelling,70,1,convert_to_int64
SoortInschrijvingActueleOpleidingInstelling,71,1,convert_to_int64
VerblijfsjaarHogerOnderwijs,72,2,convert_to_int64
VerblijfsjaarSoortHo,74,2,convert_to_int64
VerblijfsjaarTypeHoBinnenSoortHo,76,2,convert_to_int64
IndicatieEerstejaarsOplActueelEquivalent,78,1,convert_to_int64
IndicatieEerstejaarsActueleInstelling,79,1,convert_to_int64
IndicatieEerstejaarsActueleOplInstelling,80,1,convert_to_int64
EersteJaarInHetHogerOnderwijs,81,4,convert_to_int64
EersteJaarAanDezeSoortHogerOnderwijs,85,4,convert_to_int64
EersteJaarAanDezeOpleidingInstelling,89,4,convert_to_int64
Diplomajaar,93,4,convert_to_int_zero_to_nan
OpleidingsfaseActueelVanHetDiploma,97,1,convert_to_object
SoortDiplomaHogerOnderwijsInternatStatistiek,98,2,convert_to_int64
SoortDiplomaHogerOnderwijs,100,2,convert_to_int64
SoortDiplomaSoortHogerOnderwijs,102,2,convert_to_int64
SoortDiplomaInstelling,104,2,convert_to_int64
HoogsteVooropleidingVoorHetHo,106,5,convert_to_object
HoogsteVooropleidingVoorHetHoOorspronkelijkeCode,111,5,convert_to_object
DiplomajaarVanDeHoogsteVooroplVoorHetHo,116,4,convert_to_int_zero_to_nan
InstellingVanDeHoogsteVooroplVoorHetHo,120,4,convert_to_object
HoogsteVooropleidingBinnenHetHo,124,5,convert_to_object
HoogsteVooropleidingBinnenHetHoOorspronkelijkeCode,129,5,convert_to_object
DiplomajaarVanDeHoogsteVooroplBinnenHetHo,134,4,convert_to_int_zero_to_nan
InstellingVanDeHoogsteVooroplBinnenHetHo,138,4,convert_to_object
HoogsteVooropleiding,142,5,convert_to_object
DiplomajaarHoogsteVooropleiding,147,4,convert_to_int_zero_to_nan
InstellingVanDeHoogsteVooropleiding,151,4,convert_to_object
Geslacht,155,1,convert_geslacht
LeeftijdPerPeildatum1Oktober,156,3,convert_to_int64
LeeftijdPer1Januari,159,3,convert_to_int64
Nationaliteit1,162,4,convert_to_int64
Nationaliteit2,166,4,convert_to_int64
Nationaliteit3,170,4,convert_to_int64
Geboorteland,174,4,convert_to_int64
GeboortelandOuder1,178,4,convert_to_int64
GeboortelandOuder2,182,4,convert_to_int64
Etniciteit,186,2,convert_to_int64
Generatie,188,1,convert_to_int64
GecorrigeerdEersteJaarAanDezeInstelling,189,4,convert_to_int64
EersteJaarAanDezeActueleInstelling,193,4,convert_to_int64
SoortInschrijvingActInstTypeHoBinnenSoortHo,197,1,convert_to_int64
IndicatieEerstejrsActInstTypeHoBinnenSoortHo,198,1,convert_to_int64
ActueleInstellingVoorBesturenfusies,199,4,convert_to_object
SoortInschrijvingTypeHoBinnenHo,203,1,convert_to_int64
